,fullname,uni_name,file,is_a_main_job
1010,Natalia Kowalczyk-Grębska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1017,Beata Kozak,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1021,Agata Kozłowska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1038,Izabela Krejtz,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1040,Krzysztof Krejtz,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1041,Aleksandra Karolina Kroemeke,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1048,Magdalena Ewa Król,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1063,Anna Kubiak,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1081,Katarzyna Anna Kuć,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1086,Jarosław Tadeusz Kulbat,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1087,Wojciech Marek Kulesza,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1095,Katarzyna Kulwicka,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1118,Joanna Maria Kwaśniewska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1126,Zuzanna Kwissa-Gajewska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1127,Łukasz Grzegorz Lach,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1128,Bogdan Bronisław Lach,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1153,Magdalena Ewa Leśnierowska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1184,Natalia Róża Liszewska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1222,Aleksandra Łuszczyńska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1238,Robert Jacek Mackiewicz,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1243,MIKOŁAJ MAGNUSKI,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1246,Konrad Piotr Maj,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1297,Magdalena Maria Marszał-Wiśniewska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1303,Tomasz Franciszek Maruszewski,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1318,Karolina Mazurowska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1343,Jarosław Maciej Michałowski,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1376,Paweł Mordasiewicz,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1380,Agnieszka Dorota Mościcka-Teske,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1381,Błażej Stanisław Mroziński,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1411,John Nezlek,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1424,Jakub Michał Niewiarowski,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1438,Czesław Nosal,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1455,Magdalena Nowicka,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1483,Michał Ryszard Olszanowski,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1485,Justyna Olszewska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1499,Anna Orylska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1500,Jarosław Orzechowski,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1509,Paweł Maria Ostaszewski,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1530,Michał Parzuchowski,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1558,Monika Teresa Pawłowska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1559,Izabela Dorota Pawłowska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1569,Kinga Maria Piber,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1576,Igor Jakub Pietkiewicz,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1594,Konrad Marcin Piotrowski,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1603,Zbigniew Piskorz,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1651,Agnieszka Ewa Popiel,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1653,Katarzyna Anna Popiołek,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1655,Agnieszka Popławska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1658,Aleksandra Honorata Porada,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1664,Marta Porębiak,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1708,Aleksandra Rabinovitch,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1739,Sylwiusz Retowski,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1746,Marta Anna Roczniewska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1747,Danuta Rode,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1752,Anna Maria Rogala,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1772,Joanna Maria Roszak,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1814,Krystyna Jolanta Rymarczyk,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1843,Katarzyna Julia Samson,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1845,Katarzyna Maria Sanna,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1850,Ralf Schwarzer,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1864,Grzegorz Sędek,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1875,Maria Sidoruk-Grymuza,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1896,Anna Halina Siwy-Hudowska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1898,Krystyna Janina Skarżyńska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1921,Ewelina Alicja Smoktunowicz,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1930,Agata Anna Sobków,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1932,Adam Sobolewski,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1934,Joanna Sokołowska-Pohorille,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1955,Wiesława Barbara Sotwin,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1983,Dorota Jadwiga Stasik-Rogalińska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
1990,Patrycja Aleksandra Stawiarska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2018,Anna Katarzyna Strużyńska-Kujałowicz,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2034,Monika Maria Suchowierska-Stephany,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2040,Joanna Marta Sweklej,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2055,Marta Szastok,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2062,Dorota Daniela Szczygieł,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2068,Joanna Maria Szen - Ziemiańska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2088,Beata Maria Szramka-Pawlak,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2118,Aleksandra Szymków-Sudziarska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2152,Łukasz Lech Tanaś,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2192,Kamil Adam Tomaszewski,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2199,Jakub Traczyk,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2207,Anna Trejnowska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2216,Ewa Jadwiga Trzebińska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2218,Jerzy Stefan Trzebiński,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2254,Dominika Agata Ustjan,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2267,Anna Olimpia Waligórska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2276,Małgorzata Wawrzyniak,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2311,Piotr Winkielman,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2312,Katarzyna Winkowska-Nowak,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2316,Dorota Joanna Wiśniewska-Juszczak,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2346,Bogdan Stefan Wojciszke,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2391,Małgorzata Maria Wójcik,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2410,Agata Magdalena Wytykowska-Kaczorek,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2412,Agata Aneta Zabłocka,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2424,Dominika Maria Zajusz-Gawędzka,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2430,Jacek Marian Zakrzewski,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2431,Tomasz Wojciech Zaleśkiewicz,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2433,Anna Maria Zalewska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2436,Karolina Zalewska-Łunkiewicz,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2440,Karolina Zarychta-Zajączkowska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2445,Mateusz Piotr Zatorski,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2447,Katarzyna Natalia Zawadzka,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2454,Elżbieta Zdankiewicz-Ścigała,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2464,Mariusz Zięba,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2470,Justyna Mirosława Ziółkowska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2476,Anna Maria Ziółkowska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2492,Dorota Genowefa Żelechowska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
2500,Jolanta Grażyna Życińska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
3,Cengiz Acartürk,Uniwersytet Jagielloński w Krakowie,selected,
30,Dariusz Asanowicz,Uniwersytet Jagielloński w Krakowie,selected,
38,Elżbieta Anita Bajcar,Uniwersytet Jagielloński w Krakowie,selected,
57,Konrad Banicki,Uniwersytet Jagielloński w Krakowie,selected,
69,Anna Magdalena Bańbura-Nowak,Uniwersytet Jagielloński w Krakowie,selected,
76,Katarzyna Barani,Uniwersytet Jagielloński w Krakowie,selected,
98,Krystian Barzykowski,Uniwersytet Jagielloński w Krakowie,selected,
108,Przemysław Bąbel,Uniwersytet Jagielloński w Krakowie,selected,
128,Anna Beres,Uniwersytet Jagielloński w Krakowie,selected,
135,Barbara Jolanta Bętkowska-Korpała,Uniwersytet Jagielloński w Krakowie,selected,
144,Arkadiusz Piotr Białek,Uniwersytet Jagielloński w Krakowie,selected,
167,Marek Henryk Binder,Uniwersytet Jagielloński w Krakowie,selected,
171,Agata Blaut,Uniwersytet Jagielloński w Krakowie,selected,
188,Bogusława Bober-Płonka,Uniwersytet Jagielloński w Krakowie,selected,
257,Dorota Buczyłowska,Uniwersytet Jagielloński w Krakowie,selected,
264,Marcin Bukowski,Uniwersytet Jagielloński w Krakowie,selected,
305,Adam Chuderski,Uniwersytet Jagielloński w Krakowie,selected,
359,Anna Czarna,Uniwersytet Jagielloński w Krakowie,selected,
362,Gabriela Anna Czarnek,Uniwersytet Jagielloński w Krakowie,selected,
368,Aneta Czernatowicz - Kukuczka,Uniwersytet Jagielloński w Krakowie,selected,
385,Dorota Czyżowska,Uniwersytet Jagielloński w Krakowie,selected,
417,Bartłomiej Dobroczyński,Uniwersytet Jagielloński w Krakowie,selected,
445,Piotr Dragon,Uniwersytet Jagielloński w Krakowie,selected,
485,Roksana Dorota Epa,Uniwersytet Jagielloński w Krakowie,selected,
488,Lucía Estevan Reina,Uniwersytet Jagielloński w Krakowie,selected,
496,Magdalena Fąfrowicz,Uniwersytet Jagielloński w Krakowie,selected,
507,Stefan Andrzej Florek,Uniwersytet Jagielloński w Krakowie,selected,
534,Michał Gacek,Uniwersytet Jagielloński w Krakowie,selected,
553,Magda Gawłowska,Uniwersytet Jagielloński w Krakowie,selected,
568,Krzysztof Gerc,Uniwersytet Jagielloński w Krakowie,selected,
584,Kaja Renata Głomb,Uniwersytet Jagielloński w Krakowie,selected,
597,Krystyna Golonka,Uniwersytet Jagielloński w Krakowie,selected,
600,Sofia Gonzalez Castro,Uniwersytet Jagielloński w Krakowie,selected,
641,Aleksandra Gruszka-Gosiewska,Uniwersytet Jagielloński w Krakowie,selected,
656,Szczepan Grzybowski,Uniwersytet Jagielloński w Krakowie,selected,
657,Joanna Grzymała-Moszczyńska,Uniwersytet Jagielloński w Krakowie,selected,
662,Bożena Gulla,Uniwersytet Jagielloński w Krakowie,selected,
707,Mateusz Hohol,Uniwersytet Jagielloński w Krakowie,selected,
