,fullname,uni_name
925,Remigiusz Koc,Wyższa_Szkoła_Gospodarki_w_Bydgoszczy
926,Iwona Ewa Kocemba,Akademia_Humanistyczno-Ekonomiczna_w_Łodzi
929,Andrzej Bartłomiej Kokiel,Wyższa_Szkoła_Bankowa_w_Poznaniu
930,Magdalena Kolańska - Stronka ,Uniwersytet_Zielonogórski
931,Krzysztof Kolecki,Wyższa_Szkoła_Bezpieczeństwa_w_Poznaniu
936,Agnieszka Kolek,Państwowa_Uczelnia_Zawodowa_Ignacego_Mościckiego_w_Ciechanowie
937,Marcin Stanisław Kolemba,Uniwersytet_w_Białymstoku
938,Marcin Kolwitz,Pomorski_Uniwersytet_Medyczny_w_Szczecinie
940,SABINA KOŁODZIEJ,Akademia_Leona_Koźmińskiego_w_Warszawie
963,Anna Lucyna Koprowicz,Akademia_Pomorska_w_Słupsku
965,Aleksander Korchut,Dolnośląska_Szkoła_Wyższa_z_siedzibą_we_Wrocławiu
972,Elżbieta Kornacka-Skwara,Uniwersytet_Humanistyczno-Przyrodniczy_Jana_Długosza_w_Częstochowie
989,Magdalena Anna Kostyła,Uniwersytet_Medyczny_w_Łodzi
991,Ryszard Kościelak,Akademia_Ekonomiczno-Humanistyczna_w_Warszawie
994,Agnieszka Izabela Kotarba,Uniwersytet_Medyczny_w_Łodzi
1005,Jacek Kowalczyk,Akademia_Pomorska_w_Słupsku
1012,Łukasz Paweł Kowalik,Akademia_Leona_Koźmińskiego_w_Warszawie
1016,SYLWESTER KOWALSKI,Politechnika_Morska_w_Szczecinie
1018,Maria Zofia Kozielska,Wyższa_Szkoła_Bezpieczeństwa_w_Poznaniu
1023,Daria Maria KOZŁOWSKA,Wyższa_Szkoła_Bezpieczeństwa_w_Poznaniu
1031,Magdalena Barbara Kraczla,Wyższa_Szkoła_Bankowa_w_Poznaniu
1044,Dariusz Krok,Uniwersytet_Opolski
1045,Ewa Krokosz,Szkoła_Wyższa_Wymiaru_Sprawiedliwości
1054,Nadia Kruszyńska,Uniwersytet_Medyczny_Karola_Marcinkowskiego_w_Poznaniu
1059,Piotr Krzywicki,Państwowa_Uczelnia_Zawodowa_we_Włocławku
1062,Ewelina Krzyżowska,Politechnika_Częstochowska
1065,Aleksandra Maria Kubiak,Uniwersytet_Zielonogórski
1066,Elżbieta Kubińska,Uniwersytet_Ekonomiczny_w_Krakowie
1080,Julita Kazimiera Kuczyńska,Instytut_Psychiatrii_i_Neurologii
1090,Grzegorz Kulik,Państwowa_Wyższa_Szkoła_Zawodowa_w_Nysie
1106,Roman  Łukasz Kurzeja,Państwowa_Wyższa_Szkoła_Zawodowa_w_Nowym_Sączu
1116,Marek Kuźnik,Wyższa_Szkoła_Humanitas_w_Sosnowcu
1121,Agnieszka Renata Kwiatkowska,Wyższa_Szkoła_Bezpieczeństwa_w_Poznaniu
1136,Ilona Laskowska-Levy,Akademia_Ekonomiczno-Humanistyczna_w_Warszawie
1147,Artur Lemiński,Pomorski_Uniwersytet_Medyczny_w_Szczecinie
1148,Giuseppe Leonardi,Akademia_Ekonomiczno-Humanistyczna_w_Warszawie
1154,Monika Zofia Lewandowska,Uniwersytet_Mikołaja_Kopernika_w_Toruniu
1162,Maria Antonina Lewicka,Uniwersytet_Mikołaja_Kopernika_w_Toruniu
1176,Mariusz Józef Lipowski,Akademia_Wychowania_Fizycznego_i_Sportu_Jędrzeja_Śniadeckiego_w_Gdańsku
1200,KINGA MARTYNA ŁAGOWSKA,Uniwersytet_Technologiczno-Humanistyczny_Kazimierza_Pułaskiego_w_Radomiu
1204,Kamila Anna Łaszewska,Uniwersytet_Mikołaja_Kopernika_w_Toruniu
1214,Jacek Adam Łukasiewicz,Wyższa_Szkoła_Ekonomii_i_Innowacji_w_Lublinie
1218,Andrzej Łukasik,Uniwersytet_Rzeszowski
1227,Gabriela Monika Machaczek,Akademia_Techniczno-Humanistyczna_w_Bielsku-Białej
1228,Anita Karolina Machaj,Wyższa_Szkoła_Bezpieczeństwa_w_Poznaniu
1231,Anna Machnik-Czerwik,Uniwersytet_Opolski
1232,HENRYK JÓZEF MACHOŃ,Politechnika_Opolska
1239,ANNA MACKO,Akademia_Leona_Koźmińskiego_w_Warszawie
1241,Ewa Magier-Łakomy,Wyższa_Szkoła_Bankowa__z_siedzibą_w_Gdańsku
1249,Natalia Majchrzak,Wyższa_Szkoła_Bezpieczeństwa_w_Poznaniu
1255,Mariusz Makowski,Uniwersytet_Ekonomiczny_w_Krakowie
1271,Zbigniew Paweł Małysz,Wyższa_Szkoła_Menedżerska_w_Warszawie
1280,Katarzyna Kinga Marchewka,Wyższa_Szkoła_Biznesu_-_National_Louis_University_z_siedzibą_w_Nowym_Sączu
1282,Ewa Marcisz-Dyla,Akademia_Górnośląska_Wojciecha_Korfantego_w_Katowicach
1283,MIŁOSZ MARCYSIAK,Państwowa_Uczelnia_Zawodowa_Ignacego_Mościckiego_w_Ciechanowie
1288,Mateusz Marek,Uniwersytet_Papieski_Jana_Pawła_II_w_Krakowie
1289,Andrzej Stanisław Margasiński,Uniwersytet_Humanistyczno-Przyrodniczy_Jana_Długosza_w_Częstochowie
1292,Katarzyna Małgorzata Markiewicz,Wyższa_Szkoła_Ekonomii_i_Innowacji_w_Lublinie
1294,Piotr Markiewicz,Uniwersytet_Warmińsko-Mazurski_w_Olsztynie
1296,ŁUKASZ MARKIEWICZ,Akademia_Leona_Koźmińskiego_w_Warszawie
1301,Emilia Elżbieta Martynowicz,Wyższa_Szkoła_Bankowa_w_Poznaniu
1306,Magdalena Maria Marzec,Uniwersytet_Warmińsko-Mazurski_w_Olsztynie
1308,Agnieszka Anna Mateja,Wyższa_Szkoła_Humanitas_w_Sosnowcu
1312,Alina Matlakiewicz,Wyższa_Szkoła_Bankowa_w_Toruniu
1314,Patrycjusz Matwiejczuk,Wyższa_Szkoła_Menedżerska_w_Warszawie
1315,KAROL MAUSCH,Akademia_Jakuba_z_Paradyża
1324,Grażyna Mendecka,Górnośląska_Wyższa_Szkoła_Handlowa_Wojciecha_Korfantego_w_Katowicach
1336,Anna Magdalena Michalska,Politechnika_Bydgoska_Jana_i_Jędrzeja_Śniadeckich
1345,Łukasz Roland Miciuk,Uniwersytet_Mikołaja_Kopernika_w_Toruniu
1350,Agnieszka Katarzyna Miklewska,Uniwersytet_Humanistyczno-Przyrodniczy_Jana_Długosza_w_Częstochowie
1351,Rafał Milner,Uniwersytet_Mikołaja_Kopernika_w_Toruniu
1362,Tomasz Augustyn Misiuro,Uniwersytet_Zielonogórski
1364,Ewa Misterska,Wyższa_Szkoła_Bezpieczeństwa_w_Poznaniu
1368,Piotr Modzelewski,Akademia_Pomorska_w_Słupsku
1369,Ewa Mojs,Uniwersytet_Medyczny_Karola_Marcinkowskiego_w_Poznaniu
1379,Paulin Moszczyński,Tarnowska_Szkoła_Wyższa_z_siedzibą_w_Tarnowie
1384,Barbara Maria Mróz,Uniwersytet_Opolski
1393,Joanna Mydlarska,Akademia_Nauk_Stosowanych_Księcia_Mieszka_I_w_Poznaniu
1396,Dominika Myślińska,Wyższa_Szkoła_Komunikacji_Społecznej_w_Gdyni
1397,Teresa Myśliwiec,Wyższa_Szkoła_Europejska_Ks._Józefa_Tischnera_w_Krakowie
1401,Elżbieta Wiesława Napora,Uniwersytet_Humanistyczno-Przyrodniczy_Jana_Długosza_w_Częstochowie
1403,Wojciech Marek Napora,Uniwersytet_Humanistyczno-Przyrodniczy_Jana_Długosza_w_Częstochowie
1404,PATRYCJA Monika NARĘKIEWICZ,Akademia_Morska_w_Szczecinie
1408,Joanna Nawrocka,Wyższa_Szkoła_Bezpieczeństwa_w_Poznaniu
1421,Tomasz Niemiec,Wyższa_Szkoła_Bankowa_w_Toruniu
1429,Łukasz Andrzej Nikel,Uniwersytet_Zielonogórski
1430,Andrzej Nikitorowicz,Państwowa_Uczelnia_Zawodowa_prof._Edwarda_F._Szczepanika_w_Suwałkach
1431,Jan Nikołajew,Wyższa_Szkoła_Bankowa_w_Poznaniu
1440,Katarzyna Karolina Nosek-Komorowska,Wyższa_Szkoła_Bankowa__z_siedzibą_w_Gdańsku
1448,KATARZYNA AGNIESZKA NOWAK,Uniwersytet_Technologiczno-Humanistyczny_Kazimierza_Pułaskiego_w_Radomiu
1452,Agnieszka Nowakowska-Kaliszuk,Uniwersytet_w_Białymstoku
1467,Rafał Ohme,Wyższa_Szkoła_Bankowa_w_Toruniu
1472,MICHAŁ OLECH,Gdański_Uniwersytet_Medyczny
1474,Karolina Oleksa-Marewska,Wyższa_Szkoła_Bankowa_w_Poznaniu
1486,Sylwia Olszewska,Wyższa_Szkoła_Bankowa_w_Poznaniu
1489,Jacek Konrad Olszewski,Wyższa_Szkoła_Humanitas_w_Sosnowcu
